stnid,site_key,layer_key,pedon_key,country_code,state_admindiv_code,county_code,lat,long,hzn_top,hzn_bot,hzn_desgn,hzn_master,txt,sand,silt,clay,oc,c_tot,db_13b,db_od,COLEws,tp,fc,wp,ep,whc,mag,timing,ppt,mintemp,maxtemp,maxtempfreezedays,mintempfreezedays,prismppt,prismtemp,prismmintemp,prismmaxtemp,prismdewtemp,prismjjavpd,prismmaxvpd,elev,cesmppt,koeppen,moistreg,tempreg,mid,resep,rresep,restp,rrestp,resfc,rresfc,reswp,rreswp,reswhc,rreswhc,stnlat,stnlong,X,Y,stnid,lat,long,Sand_clay,Clay_soc,Sand_soc,Sand_clay_soc,OBS,ep,PREDICTED,RESIDUAL,PRED ERROR,RESEPx
17366,8473,58490,8473,US,AL,AL131,32.02388889,-87.31638889,0,12,Ap,A,sl,58.90000153,37.70000076,3.400000095,2.200000048,NA,1.440000057,1.49000001,0.011,0.456603752,0.243360004,0.068539999,0.213243748,0.174820005,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1411.58,17.93,11.41,24.46,12.16,24.55333333,17.29,65,1400.424008,Cfa,UDIC,THERMIC,6,-0.019697638,-8.456049237,-0.031719268,-6.495550392,-0.01202163,-4.707319531,-0.000426721,-0.618734398,-0.011594909,-6.219946926,32.41,-87.0153,815249.3266,-575070.535,17366,32.02388889,-87.31638889,200.2600108,7.480000372,129.5800062,440.5720334,11,0.21324,0.23433,-0.02194,-0.02108,-0.02109
18178,7448,52833,7448,US,AL,AL099,31.26916667,-87.66333333,0,25,Ap,A,sl,67.30000305,24.10000038,8.600000381,0.779999971,0.829999983,1.710000038,1.74000001,0.006,0.354716967,0.213750005,0.0696,0.140966962,0.144150004,14.42659722,0.264952957,1445.205869,11.52775838,24.56080719,0.704918033,46.78688525,1549.76,18.47,11.55,25.39,12.81,24.89666667,18.19,34,1281.105802,Cfa,UDIC,THERMIC,12.5,-0.064457235,-31.37762539,-0.05831126,-14.11798423,0.006145975,2.960431513,-0.004356152,-5.890181511,0.010502127,7.858057225,31.5411,-87.8833,790124.6996,-661699.8241,18178,31.26916667,-87.66333333,578.7800519,6.708000048,52.49400043,451.4484237,12,0.14097,0.20633,-0.0532,-0.06536,-0.06536
18178,7450,52851,7450,US,AL,AL099,31.285,-87.61027778,0,21,Ap,A,sl,59.20000076,31.29999924,9.5,1.100000024,NA,1.769999981,1.789999962,0.004,0.332075479,0.230099998,0.094870001,0.101975481,0.135229996,14.42659722,0.264952957,1445.205869,11.52775838,24.56080719,0.704918033,46.78688525,1540.38,18.53,11.94,25.13,13,23.59,17.45,75,1281.105802,Cfa,UDIC,THERMIC,10.5,-0.095950054,-48.47785494,-0.100833508,-23.29208016,-0.004883454,-2.078212082,0.011133102,13.29533641,-0.016016557,-10.58970045,31.5411,-87.8833,794984.7908,-659502.417,18178,31.285,-87.61027778,562.4000072,10.45000023,65.12000226,618.6400214,13,0.10198,0.19913,-0.08627,-0.09715,-0.09715
18178,6957,50014,6957,US,AL,AL099,31.59888889,-87.32722222,0,14,Ap,A,sl,61.79999924,21,17.20000076,1.090000033,NA,1.559999943,1.590000033,0.006,0.411320776,0.17316,0.116070005,0.238160777,0.057089994,14.42659722,0.264952957,1445.205869,11.52775838,24.56080719,0.704918033,46.78688525,1461.84,18.21,11.68,24.73,12.57,24.20666667,17.23,76,1400.424008,Cfa,UDIC,THERMIC,7,0.058598247,32.6338945,-0.022509172,-5.188478148,-0.081107419,-31.898471,-0.012663031,-9.836659768,-0.068444388,-54.52242388,31.5411,-87.8833,818549.0519,-622303.066,18178,31.59888889,-87.32722222,1062.960034,18.7480014,67.36200121,1158.626472,14,0.23816,0.17796,0.06738,0.0602,0.0602
18178,7445,52807,7445,US,AL,AL099,31.33,-87.525,0,20,Ap,A,l,33.5,42.09999847,24.39999962,3.400000095,NA,1.429999948,1.49000001,0.014,0.460377378,0.291719984,0.157940007,0.168657394,0.133779977,14.42659722,0.264952957,1445.205869,11.52775838,24.56080719,0.704918033,46.78688525,1529.31,18.52,12.24,24.8,13.16,22.96333333,16.61,92,1281.105802,Cfa,UDIC,THERMIC,10,-0.004212677,-2.436903374,-0.065168861,-12.40021445,-0.060956184,-17.28389655,-0.03405781,-17.73864461,-0.026898374,-16.74050888,31.5411,-87.8833,802598.1675,-653797.9374,18178,31.33,-87.525,817.3999873,82.96000103,113.9000032,2779.160034,15,0.16866,0.18313,-0.01011,-0.01447,-0.01447
18178,6960,50041,6960,US,AL,AL131,31.88583333,-87.41583333,0,17,Ap,A,sl,64.40000153,22.5,13.10000038,0.670000017,NA,1.50999999,1.549999952,0.009,0.430188683,0.129860005,0.069749998,0.300328678,0.060110007,14.42659722,0.264952957,1445.205869,11.52775838,24.56080719,0.704918033,46.78688525,1400.08,17.94,11.16,24.72,12.13,24.65666667,17.68,32,1400.424008,Cfa,UDIC,THERMIC,8.5,0.112722542,60.08467743,0.017566868,4.257377381,-0.095155674,-42.28846384,-0.028842118,-29.25398046,-0.066313556,-52.45347797,31.5411,-87.8833,807326.0878,-591236.7191,18178,31.88583333,-87.41583333,843.6400445,8.777000477,43.14800212,565.2388442,16,0.30033,0.18591,0.12249,0.11442,0.11442
18178,17207,107712,17207,US,AL,AL099,31.28694444,-87.61638889,0,9,Ap1,A,l,37.70000076,42.29999924,20,2.859999895,NA,1.269999981,1.330000043,0.015,0.520754724,0.256540006,0.125019999,0.264214718,0.131520007,14.42659722,0.264952957,1445.205869,11.52775838,24.56080719,0.704918033,46.78688525,1540.38,18.53,11.94,25.13,13,23.59,17.45,75,1281.105802,Cfa,UDIC,THERMIC,4.5,0.087008289,49.0999619,0.011159341,2.189843397,-0.075848948,-22.81933482,-0.038896547,-23.72948199,-0.036952401,-21.93380001,31.5411,-87.8833,794388.1619,-659338.0018,18178,31.28694444,-87.61638889,754.0000152,57.1999979,107.8219982,2156.439964,17,0.26421,0.18479,0.09325,0.07942,0.07942
18178,7449,52842,7449,US,AL,AL099,31.28666667,-87.60861111,0,26,Ap,A,sl,66.5,19.20000076,14.30000019,0.860000014,NA,1.870000005,1.899999976,0.005,0.294339621,0.175779993,0.079799995,0.118559627,0.095979998,14.42659722,0.264952957,1445.205869,11.52775838,24.56080719,0.704918033,46.78688525,1540.38,18.53,11.94,25.13,13,23.59,17.45,75,1281.105802,Cfa,UDIC,THERMIC,13,-0.070623838,-37.33087247,-0.126147835,-30.00038014,-0.055523997,-24.00477261,-0.029006242,-26.65862079,-0.026517755,-21.64754377,31.5411,-87.8833,795125.9546,-659303.745,18178,31.28666667,-87.60861111,950.9500126,12.29800036,57.19000093,817.8170242,18,0.11856,0.18729,-0.05738,-0.06873,-0.06873
18178,17206,107701,17206,US,AL,AL099,31.28666667,-87.61638889,0,15,Ap1,A,l,32.5,44.29999924,23.20000076,2.420000076,NA,1.370000005,1.440000057,0.017000001,0.483018866,0.263040011,0.146880003,0.219978855,0.116160008,14.42659722,0.264952957,1445.205869,11.52775838,24.56080719,0.704918033,46.78688525,1540.38,18.53,11.94,25.13,13,23.59,17.45,75,1281.105802,Cfa,UDIC,THERMIC,7.5,0.058585279,36.29963529,-0.01265195,-2.552490351,-0.071237229,-21.31082239,-0.028864619,-16.42418338,-0.04237261,-26.72800743,31.5411,-87.8833,794390.885,-659368.7902,18178,31.28666667,-87.61638889,754.0000247,56.1440036,78.65000247,1824.680117,19,0.21998,0.16724,0.06612,0.05273,0.05274
18178,17206,107702,17206,US,AL,AL099,31.28666667,-87.61638889,15,23,Ap2,A,l,31.60000038,44.29999924,24.10000038,1.620000005,NA,1.529999971,1.590000033,0.013,0.42264152,0.293760006,0.15423,0.128881514,0.139530006,14.42659722,0.264952957,1445.205869,11.52775838,24.56080719,0.704918033,46.78688525,1540.38,18.53,11.94,25.13,13,23.59,17.45,75,1281.105802,Cfa,UDIC,THERMIC,19,-0.019502728,-13.14339562,-0.048029528,-10.20447903,-0.0285268,-8.851370861,-0.018563983,-10.74341993,-0.009962817,-6.664411724,31.5411,-87.8833,794390.885,-659368.7902,18178,31.28666667,-87.61638889,761.5600212,39.04200074,51.19200077,1233.727238,20,0.12888,0.15099,-0.00997,-0.02211,-0.02211
