STNID	LATITUDE	LONGITUDE	MIN_YEAR	MAX_YEAR	REGIME	CLASS	POISSON	EXPONENTIAL
49699	39.52	-122.31	1906	2011	XERIC	8	0.150816596	0.129215799
49866	41.7	-122.64	1900	2011	XERIC	8	0.205669163	0.181994942
50848	39.99	-105.27	1900	2011	ARIDIC USTIC	2	0.228014593	0.180042914
51294	38.46	-105.23	1900	2011	USTIC ARIDIC	7	0.164626536	0.196896324
51528	39.22	-105.28	1902	2011	TYPIC USTIC	4	0.215273705	0.200791459
51564	38.82	-102.35	1900	2011	ARIDIC USTIC	2	0.136688748	0.127611041
52184	37.67	-106.32	1919	2011	TYPIC ARIDIC	3	0.155278067	0.25111736
52446	38.48	-102.78	1907	2011	USTIC ARIDIC	7	0.112442396	0.123249856
53005	40.61	-105.13	1900	2011	ARIDIC USTIC	2	0.216493856	0.20946225
53038	40.26	-103.82	1900	2011	USTIC ARIDIC	7	0.14405722	0.169640625
53146	39.17	-108.73	1902	2011	TYPIC ARIDIC	3	0.150757576	0.249311232
53662	38.53	-106.97	1900	2011	TYPIC USTIC	4	0.196452573	0.297638333
53951	37.77	-107.11	1920	2011	UDIC	5	0.161699392	0.155662101
54770	38.09	-102.63	1900	2011	USTIC ARIDIC	7	0.15281778	0.147091717
54834	38.06	-103.22	1900	2011	USTIC ARIDIC	7	0.128624232	0.148787924
55322	37.17	-105.94	1906	2011	TYPIC ARIDIC	3	0.120308379	0.260047971
57167	38.04	-103.69	1900	2011	USTIC ARIDIC	7	0.13875288	0.172365594
57936	40.49	-106.82	1908	2011	TYPIC USTIC	4	0.317721257	0.199622568
58429	37.18	-104.49	1900	2011	ARIDIC USTIC	2	0.180635561	0.181331448
59243	40.06	-102.22	1900	2011	USTIC ARIDIC	7	0.151449693	0.13414974
62658	41.95	-73.37	1916	2011	UDIC	5	0.34671819	0.118142105
68138	41.8	-72.23	1900	2011	UDIC	5	0.277985791	0.095322006
72730	39.26	-75.52	1906	2011	UDIC	5	0.289536417	0.09888576
