X,Y,stnid,lat,long,maxtemp,mintemp,ppt,magnitude,timing,maxtempfreezedays,mintempfreezedays,prismppt,prismtemp,prismmintemp,prismmaxtemp,prismdewtemp,prismjjavpd,prismmaxvpd,elev,wizardppt,cesmppt,resep,resepx,resepxpptout,resepxprismjjavpdout,resepxmagnitudeout,resepxmintempfreezedaysout
-2075560.712,1786480.026,"43,257",36.78,-119.7194,24.71344888,10.29726438,279.0752131,6.040258699,0.123067876,0.032786885,19.96721311,296.51,17.56,10.28,24.84,7.7,44.72333333,24.43,104,289.693604,701.5418982,0.024338406,0.02565875,FALSE,FALSE,FALSE,FALSE
-2081011.912,1734914.23,"43,747",36.3219,-119.6356,24.60334352,9.01859528,206.1022623,5.342782422,0.09718222,0,33.6557377,221.85,17.13,9.72,24.53,7.97,42.06666667,23.45,74,184.9235316,701.5418982,-0.081719602,-0.0819785,FALSE,FALSE,FALSE,FALSE
-2227309.2,2412049.859,"43,761",41.8042,-123.3758,21.89864999,4.697486104,1092.999475,13.00358191,0.219634628,0.131147541,64.73770492,1294.73,12.88,4.71,21.04,3.94,38.10666667,20.1,445,1438.995344,1446.71023,0.162161455,0.16238,TRUE,TRUE,FALSE,FALSE
-2287118.423,2057580.822,"43,875",38.6175,-122.8731,23.26640464,8.136202615,1083.043508,15.05169709,0.183827765,0,15.59016393,1104.35,14.78,7.39,22.17,7.61,27.08666667,17.94,66,955.480944,731.2493525,0.002154012,0.001893333,FALSE,FALSE,FALSE,FALSE
-1846545.337,1379557.195,"44,259",33.7086,-116.2153,31.93464124,15.32061909,65.91508197,5.792466267,0.033950617,0,8.721311475,75.75,23.17,14.79,31.56,5.75,60.97333333,39.28,-2,103.1340584,297.7407625,-0.053705888,-0.05509,FALSE,TRUE,FALSE,FALSE
-2026835.496,1728245.103,"44,890",36.3817,-119.0264,25.28407973,9.726574776,355.7540656,8.376841531,0.113455261,0,19.67213115,355.93,17.74,10.28,25.19,8.02,43.48,24.21,352,619.860584,701.5418982,-0.037081308,-0.037485,FALSE,FALSE,FALSE,FALSE
-2223311.876,1931623.965,"44,997",37.6922,-121.7692,23.02078054,7.693021681,360.3094098,6.199563797,0.155026142,0.016393443,28.72131148,396.68,15.64,8.96,22.31,7.14,27.80333333,17.9,174,342.892888,697.1863236,-0.036328026,-0.0361524,FALSE,FALSE,FALSE,FALSE
-2170573.358,1965221.652,"45,032",38.1061,-121.2878,23.33824407,8.03775713,432.1914098,7.281494139,0.139016897,0.016393443,26.78688525,450.4,16.32,8.95,23.69,7.66,35.61666667,21.06,14,326.98436,697.1863236,-0.093174995,-0.093404444,FALSE,FALSE,FALSE,FALSE
-2128915.637,1858867.202,"45,532",37.2858,-120.5117,24.83528393,8.592280115,310.5503934,6.470734131,0.125024002,0,28.55737705,322.4,16.77,9.5,24.04,7.8,40.24,22.34,51,275.54428,829.9166417,-0.051804548,-0.0516705,FALSE,FALSE,FALSE,FALSE
-2157510.132,2335439.127,"45,983",41.3206,-122.3081,17.19925052,2.763938584,971.674918,10.37638618,0.249033938,4.295081967,130.3114754,1202.56,10.43,3.43,17.42,1.16,26.05,15.7,"1,398",1580.458612,1603.709948,0.02450481,0.025599091,FALSE,FALSE,FALSE,FALSE
-2247069.397,2006469.27,"46,074",38.2778,-122.2647,22.09213462,8.041576629,656.206918,9.822931927,0.166522657,0,17.95081967,684.83,15.37,9.03,21.72,7.98,30.21,16.4,340,550.920158,812.4703397,-0.113366564,-0.113914667,FALSE,FALSE,FALSE,FALSE
-1679632.386,1465855.597,"46,118",34.7675,-114.6189,30.18987718,16.14532024,111.4019016,4.86344646,0.060399866,0,4.131147541,121.14,23.16,16.07,30.24,2.2,69.16333333,39.34,229,143.5157912,383.5425342,0.010981779,0.010938333,FALSE,TRUE,FALSE,FALSE
