stnid,site_key,layer_key,pedon_key,country_code,state_admindiv_code,county_code,lat,long,hzn_top,hzn_bot,hzn_desgn,hzn_master,txt,sand,silt,clay,oc,c_tot,db_13b,db_od,COLEws,tp,fc,wp,ep,whc,mag,timing,ppt,mintemp,maxtemp,maxtempfreezedays,mintempfreezedays,prismppt,prismtemp,prismmintemp,prismmaxtemp,prismdewtemp,prismjjavpd,prismmaxvpd,elev,cesmppt,koeppen,moistreg,tempreg,mid,resep,rresep,restp,rrestp,resfc,rresfc,reswp,rreswp,reswhc,rreswhc,stnlat,stnlong,X,Y,stnid,lat,long,Sand_clay,Clay_soc,Sand_soc,Sand_clay_soc,OBS,ep,PREDICTED,RESIDUAL,PRED ERROR,RESEPx
17366,9354,63726,9354,US,AL,AL085,32.22194444,-86.85944444,20,52,Bt1,B,cl,41.79999924,25.89999962,32.29999924,0.419999987,NA,1.559999943,1.610000014,0.009,0.411320776,0.249599991,0.180319999,0.161720785,0.069279992,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1340.97,17.93,11.8,24.07,12.19,23.58666667,16.7,105,1400.424008,Cfa,UDIC,THERMIC,36,0.043595603,36.90627359,-0.031980649,-7.214199378,-0.075576252,-23.24162769,-0.040397351,-18.30275291,-0.0351789,-33.67726721,32.41,-87.0153,855900.2508,-549078.0318,17366,32.22194444,-86.85944444,1350.139944,13.56599926,17.55599914,567.0587588,11,0.16172,0.11708,0.05451,0.04465,0.04464
17366,8476,58516,8476,US,AL,AL131,31.89027778,-87.27638889,26,53,Bt1,B,cl,44.29999924,27.10000038,28.60000038,0.550000012,NA,1.559999943,1.600000024,0.008,0.411320776,0.209039986,0.140800005,0.20228079,0.068239981,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1409.87,18,11.48,24.52,12.28,23.98,17.24,94,1400.424008,Cfa,UDIC,THERMIC,39.5,0.063156918,45.3961757,-0.041195653,-9.103681254,-0.104352571,-33.29771829,-0.057397985,-28.95992284,-0.046954586,-40.76111141,32.41,-87.0153,820358.6531,-589549.5068,17366,31.89027778,-87.27638889,1266.979995,15.73000055,24.36500011,696.8390125,12,0.20228,0.13724,0.06039,0.06504,0.06504
17366,8474,58500,8474,US,AL,AL131,32.07055556,-87.3875,33,66,Bt1,B,l,41.20000076,34.79999924,24,0.330000013,0.189999998,1.529999971,1.600000024,0.015,0.42264152,0.267749995,0.145600008,0.154891525,0.122149987,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1376.85,17.88,11.25,24.52,12.12,24.49333333,17.41,44,1400.424008,Cfa,UDIC,THERMIC,49.5,0.019721192,14.58988185,-0.014414794,-3.298154924,-0.034135986,-11.30757585,-0.02805932,-16.15768096,-0.006076666,-4.739003897,32.41,-87.0153,808120.9103,-570499.4649,17366,32.07055556,-87.3875,988.8000182,7.920000312,13.59600079,326.3040189,13,0.15489,0.13675,0.01507,0.01814,0.01814
17366,9350,63684,9350,US,AL,AL047,32.32527778,-86.85611111,25,60,Bt1,B,l,49.5,37.79999924,12.69999981,0.230000004,NA,1.690000057,1.730000019,0.008,0.362264129,0.194350007,0.095150001,0.167914123,0.099200006,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1329.16,18.12,12,24.24,12.24,25.05,17.05,43,1400.424008,Cfa,UDIC,THERMIC,42.5,-0.005412188,-3.122542635,-0.061345135,-14.48153756,-0.055932947,-22.34788507,-0.008843983,-8.504321367,-0.047088964,-32.18900529,32.41,-87.0153,855104.8184,-537582.5922,17366,32.32527778,-86.85611111,628.6499906,2.921000007,11.3850002,144.5895004,14,0.16791,0.17639,-0.00198,-0.00847,-0.00848
17366,9353,63714,9353,US,AL,AL085,32.1775,-86.82916667,56,121,Bt3,B,sc,50.5,12.39999962,37.09999847,0.230000004,NA,1.75999999,1.789999962,0.005,0.33584906,0.285120012,0.225540002,0.050729049,0.05958001,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1346.72,17.86,11.71,24.01,12.18,23.46666667,16.57,114,1400.424008,Cfa,UDIC,THERMIC,88.5,-0.04082955,-44.5939002,-0.083866626,-19.98177066,-0.043037076,-13.11477866,-0.023499527,-9.436062991,-0.019537549,-24.69432728,32.41,-87.0153,859203.8917,-553735.4912,17366,32.1775,-86.82916667,1873.549923,8.532999797,11.6150002,430.9164897,15,0.050729,0.08989,-0.04255,-0.03916,-0.039161
17366,6959,50033,6959,US,AL,AL131,31.89666667,-87.23666667,27,39,B1,B,sl,61.40000153,21.60000038,17,0.270000011,NA,1.730000019,1.75,0.003,0.347169804,0.138400002,0.090999997,0.208769803,0.047400005,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1410.17,18.02,11.58,24.46,12.34,24.11666667,17.06,89,1400.424008,Cfa,UDIC,THERMIC,33,0.034019666,19.46760509,-0.071851768,-17.14751048,-0.105871434,-43.34171698,-0.035468903,-28.04555354,-0.070402531,-59.7631712,32.41,-87.0153,824017.9812,-588497.1532,17366,31.89666667,-87.23666667,1043.800026,4.590000187,16.57800109,281.8260185,16,0.20877,0.17493,0.03052,0.03384,0.03384
18178,8475,58509,8475,US,AL,AL131,31.91027778,-87.36666667,15,41,Bt1,B,scl,52.79999924,22.79999924,24.39999962,0.519999981,NA,1.539999962,1.580000043,0.008,0.418867939,0.220219997,0.12166,0.198647941,0.098559997,14.42659722,0.264952957,1445.205869,11.52775838,24.56080719,0.704918033,46.78688525,1401.36,17.91,11.23,24.58,12.14,24.55333333,17.48,45,1400.424008,Cfa,UDIC,THERMIC,28,0.042074288,26.87188243,-0.027027664,-6.061433152,-0.069101952,-23.88410284,-0.050587685,-29.36915245,-0.018514267,-15.81412169,31.5411,-87.8833,811690.3994,-588106.013,18178,31.91027778,-87.36666667,1288.319961,12.68799934,27.4559986,669.9263554,17,0.19865,0.15443,0.04476,0.04421,0.04422
18178,7450,52852,7450,US,AL,AL099,31.285,-87.61027778,21,48,Bt1,B,scl,52.29999924,26.10000038,21.60000038,0.159999996,NA,1.600000024,1.669999957,0.013,0.396226406,0.268799992,0.13861,0.127426414,0.130189992,14.42659722,0.264952957,1445.205869,11.52775838,24.56080719,0.704918033,46.78688525,1540.38,18.53,11.94,25.13,13,23.59,17.45,75,1281.105802,Cfa,UDIC,THERMIC,34.5,-0.014007863,-9.904150278,-0.017818347,-4.303483418,-0.003810484,-1.397776038,-0.017389034,-11.14688555,0.01357855,11.64426879,31.5411,-87.8833,794984.7908,-659502.417,18178,31.285,-87.61027778,1129.680003,3.455999974,8.367999669,180.748796,18,0.12743,0.14292,-0.00426,-0.01549,-0.01549
18178,8475,58511,8475,US,AL,AL131,31.91027778,-87.36666667,69,105,Bt3,B,sc,45.09999847,18.79999924,36.09999847,0.239999995,NA,1.669999957,1.700000048,0.005,0.369811337,0.283899993,0.195500006,0.085911344,0.088399987,14.42659722,0.264952957,1445.205869,11.52775838,24.56080719,0.704918033,46.78688525,1401.36,17.91,11.23,24.58,12.14,24.55333333,17.48,45,1400.424008,Cfa,UDIC,THERMIC,87,-0.008880286,-9.368217526,-0.056199954,-13.19212783,-0.047319668,-14.28649128,-0.048620601,-19.9166314,0.001300934,1.493625319,31.5411,-87.8833,811690.3994,-588106.013,18178,31.91027778,-87.36666667,1628.109876,8.663999452,10.82399941,390.746362,19,0.085911,0.0942,-0.00904,-0.00829,-0.008289
18178,6957,50016,6957,US,AL,AL099,31.59888889,-87.32722222,28,55,Bt1,B,cl,42.70000076,25.5,31.79999924,0.209999993,NA,1.389999986,1.470000029,0.018999999,0.475471703,0.230740003,0.160229998,0.2447317,0.070510005,14.42659722,0.264952957,1445.205869,11.52775838,24.56080719,0.704918033,46.78688525,1461.84,18.21,11.68,24.73,12.57,24.20666667,17.23,76,1400.424008,Cfa,UDIC,THERMIC,41.5,0.139579809,132.7411304,0.049424204,11.60063244,-0.090155605,-28.09499494,-0.059285211,-27.00733642,-0.030870394,-30.45006149,31.5411,-87.8833,818549.0519,-622303.066,18178,31.59888889,-87.32722222,1357.859992,6.677999618,8.966999861,285.1505888,20,0.24473,0.10606,0.13514,0.13868,0.13867
