stnid	lat	lon	mean_tmax[c]	mean_tmin[c]
11084 31.0581 -87.0547 25.8795969590661 11.1672366420328
12813 30.5467 -87.8808 25.3210294872445 13.8831718177032
13511 32.7017 -87.5808 25.2028077771785 11.7609305297324
13816 31.87 -86.2542 24.2868210568424 11.2656266569034
15749 34.7442 -87.5997 22.1535737471037 10.1400887038188
17157 34.1736 -86.8133 22.5313552971092 8.26905260592208
17304 34.6736 -86.0536 22.0780672864888 8.17087312720239
17366 32.41 -87.0153 25.0629633646029 12.6108405468752
18024 33.4164 -86.135 23.6692588272399 9.52367045161972
18178 31.5411 -87.8833 24.560807187213 11.5277583754192
18323 31.8075 -85.9722 24.7157741619075 12.3474902757669
18380 33.2119 -87.6161 24.0820923679645 11.3414398471855
18438 32.0142 -85.7464 24.2586992623264 10.9174423096493
18469 34.5667 -85.6128 21.225235280265 7.29309366634955
23160 35.2681 -111.7428 16.644512313073 -3.49948743706295
26250 34.1547 -114.2897 31.2240282642502 14.5468351594573
26353 31.9356 -109.8378 25.9316577039801 7.55914529518865
26796 34.5706 -112.4322 20.7426006286451 3.9493929917749
27281 33.6731 -111.1508 27.383691738379 12.9676388821408
27370 33.08 -111.7417 30.673125228146 11.836721492146
27390 32.815 -109.6808 26.7046915363621 8.30671539088861
27435 34.5172 -109.4028 21.3135024459793 2.78949692241107
27716 35.3322 -112.8797 22.1230389503453 2.65318956037604
28619 31.7056 -110.0569 25.3452093796481 9.9683411201399
29271 33.8169 -109.9833 22.3627544396605 3.96474024456448
29287 33.9792 -112.7403 29.0351275775901 9.09332824061544
29359 35.2406 -112.1903 17.5435817008305 2.84747410965872
30936 34.8822 -91.2153 22.0591429307862 10.1342763242342
31596 35.0842 -92.4289 23.1616657197666 10.3087905694467
31632 36.4197 -90.5858 21.441023856067 9.49478145239713
32356 36.4164 -93.7917 20.8884298426034 8.84503993834357
32444 36.1006 -94.1744 20.8664157884277 8.80534649841095
32930 36.4261 -94.4481 21.3429886921295 8.06778842647864
34572 36.4947 -91.535 21.256529616618 6.87181207370059
34756 34.5731 -94.2494 21.8672175272077 9.51716504178342
35186 35.6042 -91.2744 21.8004124423001 10.1869110277374
35754 34.2256 -92.0189 23.2901708391988 11.3847522265831
35820 36.2639 -90.9681 21.4223633363261 8.81695461156061
35908 33.8203 -93.3878 23.7220674674864 10.8684106290594
36928 35.3028 -93.6369 22.6410934971927 10.0311996468966
40693 37.8744 -122.2589 18.5234607258047 9.68056996442731
40924 33.6131 -114.5972 31.2930350300565 13.4601032601358
41614 41.5336 -120.1736 16.7389342687924 2.12785020125829
41715 39.6911 -121.8211 24.0919363770254 8.4815081979732
41758 32.64 -117.0858 20.8194947545331 12.3429252498087
41912 39.0911 -120.9481 21.5376393714342 8.00034378108148
42239 32.9897 -116.5872 19.1692500698702 4.42194731856482
42910 40.8097 -124.1603 14.8100462488382 8.20882201292627
42941 34.7042 -118.4275 21.7962824267457 9.90123112795279
43257 36.78 -119.7194 24.7134488786681 10.297264378094
43747 36.3219 -119.6356 24.6033435202294 9.01859528016365
43761 41.8042 -123.3758 21.898649987072 4.69748610351696
43875 38.6175 -122.8731 23.2664046426008 8.13620261532635
44259 33.7086 -116.2153 31.934641238978 15.320619087361
44890 36.3817 -119.0264 25.284079729027 9.72657477574747
44997 37.6922 -121.7692 23.0207805429509 7.69302168103928
45032 38.1061 -121.2878 23.3382440692052 8.03775712984891
45532 37.2858 -120.5117 24.8352839325091 8.59228011501812
45983 41.3206 -122.3081 17.1992505238413 2.76393858439931
46074 38.2778 -122.2647 22.0921346244566 8.04157662879738
46118 34.7675 -114.6189 30.1898771774833 16.1453202430414
46175 33.6025 -117.8803 19.7032745994604 12.947870869861
46399 34.4478 -119.2275 25.4577550022332 7.67570607596565
46506 39.7458 -122.1997 23.8641793298737 9.27055354309227
46508 41.3089 -123.5317 21.5849794371955 6.57756661150492
46730 35.6278 -120.6856 24.7977035872281 5.43699207077453
46826 38.2578 -122.6078 21.4258233118901 7.36050556013913
47195 39.9367 -120.9475 20.8335803799637 1.04490011132812
47306 34.0528 -117.1894 26.200266116547 10.0388674056272
47851 35.3056 -120.6639 21.7196670078593 8.5425537076376
47902 34.4167 -119.6844 21.5847174444913 10.8430928548028
47916 36.9906 -121.9911 20.2167086204629 7.70166075271841
47965 38.4381 -122.6978 21.8740580827198 7.2641642099398
48702 40.4167 -120.6631 17.7677706170362 1.26259042326777
49122 39.1467 -123.2103 23.0926288448172 7.1435165692355
49452 35.5975 -119.3531 25.7870149557513 9.80590944454194
49490 40.7222 -122.9331 21.7268075299226 3.07313599421055
49699 39.5231 -122.3058 24.2190658443194 8.80121935630308
49866 41.7036 -122.6408 19.2364809936922 2.7228660873189
50848 39.9919 -105.2667 18.6198237514708 3.613830635109
51294 38.46 -105.2256 19.9322416354355 4.02580320095033
51528 39.2203 -105.2783 17.1335419815902 -2.59021276629294
51564 38.8236 -102.3486 19.5595545854891 2.7670736293377
52184 37.6742 -106.3247 14.4313954958811 -2.48796573016192
52446 38.4775 -102.7808 20.3673268084043 2.9126331963067
53005 40.6147 -105.1314 17.323677786757 1.97659923564871
53038 40.26 -103.8156 17.8549519537945 1.51404653411706
53146 39.1653 -108.7331 19.1884440223405 1.3318199365042
53662 38.5258 -106.9675 12.6641225859347 -7.03281478126459
53951 37.7717 -107.1097 11.2737073398023 -8.72510021262156
54770 38.0936 -102.6306 20.7100842539791 3.28944568324638
54834 38.0636 -103.2153 21.8391466214455 3.10125805056704
55322 37.1742 -105.9392 15.271576483337 -3.86784922770707
57167 38.0392 -103.6933 21.6183092593896 2.29935350329815
57936 40.4883 -106.8233 13.1610087207829 -4.90257631078912
58429 37.1786 -104.4869 19.6226269984012 3.05406470512134
